gene,sample,count,condition,batch,seq_date,sample_num,month,log_count,level
BRCA1,S1,120,control,1,2024-01-15,1,1,4.795790545596741,low
TP53,S1,210,control,1,2024-01-15,1,1,5.351858133476067,high
EGFR,S1,45,control,1,2024-01-15,1,1,3.828641396489095,low
MYC,S1,300,control,1,2024-01-15,1,1,5.707110264748875,high
KRAS,S1,88,control,1,2024-01-15,1,1,4.48863636973214,low
GAPDH,S1,1000,control,1,2024-01-15,1,1,6.90875477931522,high
ACTB,S1,1200,control,1,2024-01-15,1,1,7.0909098220799835,high
VEGFA,S1,60,control,1,2024-01-15,1,1,4.110873864173311,low
BRCA1,S2,98,control,1,2024-01-15,2,1,4.59511985013459,low
TP53,S2,190,control,1,2024-01-15,2,1,5.25227342804663,low
EGFR,S2,52,control,1,2024-01-15,2,1,3.970291913552122,low
MYC,S2,280,control,1,2024-01-15,2,1,5.638354669333745,high
KRAS,S2,95,control,1,2024-01-15,2,1,4.564348191467836,low
GAPDH,S2,980,control,1,2024-01-15,2,1,6.8885724595653635,high
ACTB,S2,1180,control,1,2024-01-15,2,1,7.074116816197362,high
VEGFA,S2,70,control,1,2024-01-15,2,1,4.2626798770413155,low
BRCA1,S3,110,control,1,2024-01-22,3,1,4.709530201312334,low
TP53,S3,205,control,1,2024-01-22,3,1,5.327876168789581,high
EGFR,S3,48,control,1,2024-01-22,3,1,3.8918202981106265,low
MYC,S3,295,control,1,2024-01-22,3,1,5.69035945432406,high
KRAS,S3,90,control,1,2024-01-22,3,1,4.51085950651685,low
GAPDH,S3,1010,control,1,2024-01-22,3,1,6.918695219020472,high
ACTB,S3,1220,control,1,2024-01-22,3,1,7.107425474110705,high
VEGFA,S3,65,control,1,2024-01-22,3,1,4.189654742026425,low
BRCA1,S4,320,treated,2,2024-02-05,4,2,5.771441123130016,high
TP53,S4,230,treated,2,2024-02-05,4,2,5.442417710521793,high
EGFR,S4,180,treated,2,2024-02-05,4,2,5.198497031265826,low
MYC,S4,610,treated,2,2024-02-05,4,2,6.415096959171596,high
KRAS,S4,102,treated,2,2024-02-05,4,2,4.634728988229636,low
GAPDH,S4,995,treated,2,2024-02-05,4,2,6.903747257584598,high
ACTB,S4,1195,treated,2,2024-02-05,4,2,7.086737934510577,high
VEGFA,S4,210,treated,2,2024-02-05,4,2,5.351858133476067,high
BRCA1,S5,305,treated,2,2024-02-05,5,2,5.723585101952381,high
TP53,S5,220,treated,2,2024-02-05,5,2,5.3981627015177525,high
EGFR,S5,195,treated,2,2024-02-05,5,2,5.278114659230517,low
MYC,S5,640,treated,2,2024-02-05,5,2,6.46302945692067,high
KRAS,S5,110,treated,2,2024-02-05,5,2,4.709530201312334,low
GAPDH,S5,1005,treated,2,2024-02-05,5,2,6.913737350659685,high
ACTB,S5,1210,treated,2,2024-02-05,5,2,7.099201743553092,high
VEGFA,S5,230,treated,2,2024-02-05,5,2,5.442417710521793,high
BRCA1,S6,298,treated,1,2024-02-12,6,2,5.700443573390687,high
TP53,S6,215,treated,1,2024-02-12,6,2,5.375278407684165,high
EGFR,S6,205,treated,1,2024-02-12,6,2,5.327876168789581,high
MYC,S6,600,treated,1,2024-02-12,6,2,6.398594934535208,high
KRAS,S6,99,treated,1,2024-02-12,6,2,4.605170185988092,low
GAPDH,S6,990,treated,1,2024-02-12,6,2,6.898714534329988,high
ACTB,S6,1205,treated,1,2024-02-12,6,2,7.095064377287131,high
VEGFA,S6,220,treated,1,2024-02-12,6,2,5.3981627015177525,high
